product_id,external_id,title,brand,category,subcategory,url,source,price_current,price_original,currency,discount_pct,has_discount,rating_score,reviews_count,availability,description,images_count,first_image,tags,scraped_at
9efc81ac-b34e-487a-b7a1-6fe9c9d7920b,9749998221059,Huawei Tablet Pro,Huawei,Electronics,,https://www.amazon.com/product/huawei-tablet-pro-1,amazon,1487.49,,USD,,False,4.8,177,in_stock,Crafted with attention to detail and backed by comprehensive warranty coverage.,1,https://cdn.amazon.example/img/9749998221059.jpg,amazon|electronics,2026-03-21T05:42:24.094706
6c26ff34-72d3-45d8-aa01-71e58253e3c6,8979986990555,Adidas Portable Hoodie Plus,Adidas,Fashion,,https://www.amazon.com/product/adidas-portable-hoodie-plus-2,amazon,1125.26,1575.36,USD,28.6,True,3.7,665,out_of_stock,A versatile product suitable for a wide range of applications and users.,1,https://cdn.amazon.example/img/8979986990555.jpg,amazon|fashion,2026-03-27T11:23:36.862451
b271d64f-790b-4561-af51-5ff5d7b0a132,9473792172229,Calvin Klein Sneakers Pro,Calvin,Fashion,,https://www.amazon.com/product/calvin-klein-sneakers-pro-3,amazon,1357.13,,USD,,False,3.9,379,out_of_stock,Thoughtfully designed to deliver value without cutting corners on key features.,1,https://cdn.amazon.example/img/9473792172229.jpg,amazon|fashion,2026-03-24T17:44:49.598673
f8beb32f-30b3-4128-b813-820780d2a67c,0390919824546,Nestle Lightweight Dried Fruits Pro,Nestle,Food,,https://www.amazon.com/product/nestle-lightweight-dried-fruits-pro-4,amazon,1553.58,1724.47,USD,9.9,True,4.1,4,limited,A trusted choice for professionals and enthusiasts alike.,1,https://cdn.amazon.example/img/0390919824546.jpg,amazon|food,2026-03-16T03:50:09.844085
bbbb408c-5460-457c-b4ca-55f0af33ee29,3016548993474,Braun Portable Vacuum Cleaner 2024,Braun,Home,,https://www.amazon.com/product/braun-portable-vacuum-cleaner-2024-5,amazon,509.81,,USD,,False,4.5,88,in_stock,Combining modern aesthetics with functional engineering for discerning users.,1,https://cdn.amazon.example/img/3016548993474.jpg,amazon|home,2026-03-14T18:13:11.642972
22e4c230-390d-49b0-8ab9-2ab00b7ce04e,7597906218864,Charlotte Tilbury Nail Polish,Charlotte,Beauty,,https://www.amazon.com/product/charlotte-tilbury-nail-polish-6,amazon,1016.25,1158.52,USD,12.3,True,3.3,8,in_stock,Designed to simplify your daily routine without compromising on quality.,1,https://cdn.amazon.example/img/7597906218864.jpg,amazon|beauty,2026-03-27T02:10:26.756024
83027e27-d12e-481e-b565-8b5f32cf9997,4987098887094,Shell Tool Kit v2,Shell,Automotive,,https://www.amazon.com/product/shell-tool-kit-v2-7,amazon,2108.26,,USD,,False,3.3,71,in_stock,High-quality construction ensures long-term reliability and consistent performance.,1,https://cdn.amazon.example/img/4987098887094.jpg,amazon|automotive,2026-03-18T18:06:19.484794
dd04df53-4eb3-40b1-bd71-0d24bf32268e,9702128869169,Reebok Backpack Pro,Reebok,Sports,,https://www.amazon.com/product/reebok-backpack-pro-8,amazon,1164.15,1594.89,USD,27.0,True,,0,in_stock,Designed to simplify your daily routine without compromising on quality.,1,https://cdn.amazon.example/img/9702128869169.jpg,amazon|sports,2026-03-26T00:44:07.362680
d5a1ac24-1006-45ed-ba7f-5c8f5af7197e,3184598982423,Husqvarna Compact Plant Pot Pro,Husqvarna,Garden,,https://www.amazon.com/product/husqvarna-compact-plant-pot-pro-9,amazon,1598.19,2253.45,USD,29.1,True,,0,in_stock,Combining modern aesthetics with functional engineering for discerning users.,1,https://cdn.amazon.example/img/3184598982423.jpg,amazon|garden,2026-03-18T13:30:25.884503
2b655183-cdfd-498a-94d3-874fcd7ad03d,8491546771069,Gardena Classic Watering Can v2,Gardena,Garden,,https://www.amazon.com/product/gardena-classic-watering-can-v2-10,amazon,1723.02,,USD,,False,4.5,683,in_stock,Combining modern aesthetics with functional engineering for discerning users.,1,https://cdn.amazon.example/img/8491546771069.jpg,amazon|garden,2026-03-24T14:23:08.357654
